label	text_a
0	"Justice must still be carried out, even when one has relations and good friends among the prize committee; but that the snail should have received the second prize, I consider almost an insult to myself" "No," said the fence-rail, who had been a witness at the distribution of prizes; "there should be some consideration for industry and perseverance.
3	And so it was with Anthony; often the scalding tears, like pearly drops, would fall from his eyes to the coverlet and roll on the floor with a sound as if one of his heartstrings had broken.
0	Then they laughed and said, "Indeed, stupid Hans, where wilt thou get a horse?"
0	It must be done, for very shame; you are sure to be asked when you come back if you have seen everything, and will most likely be told that you've omitted to see what was best worth seeing of all.
2	"I do feel so happy," said the father, "and how beautifully the sun shines; I feel just as if I were going to see an old friend again."
4	What do you mean by that?"
2	Then she put on her dress which sparkled like the stars, and went into the ball-room in it; and the king danced with her again, and thought she had never looked so beautiful as she did then.
0	"Humph!
0	The rabbits could not bear him; they could smell him half a mile off.
2	And his father said, "Heaven be praised! we have found our dear child again"; and he told his wife not to use the scythe for fear she should hurt him.
0	Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs.
3	And as she told him she wept.
2	And now the old king gathered together his court, and asked all his kingdom to come and celebrate the wedding of his son and the princess.
1	The cook, however, thought to himself: "If the child has the power of wishing, and I am here, he might very easily get me into trouble."
1	Tom Kitten wriggled and squirmed until he was quite exhausted.
2	But Red-Cap went joyously home, and no one ever did anything to harm her again.
4	Anna Maria was about to argue the point when all at once there began to be other sounds up above--the rasping noise of a saw, and the noise of a little dog, scratching and yelping!
1	Mrs. Tabitha became more and more distracted and mewed dreadfully.
0	"What a buzzing and a rumbling there is in the elfin hill," said one of the lizards; "I have not been able to close my eyes for two nights on account of the noise; I might just as well have had the toothache, for that always keeps me awake."
2	She ran down, set a jug, said: "God bless it for you, Gretel," and took a good drink, and thought that wine should flow on, and should not be interrupted, and took yet another hearty draught.
2	"Oh, what a splendour!"
3	The tailor replied: "Simpkin, we shall make our fortune, but I am worn to a ravelling.
2	They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street.
2	And they ran towards each other and took one another's hand, in the great cathedral of nature and poesy, and above them sounded the invisible holy bell; happy spirits surrounded them, singing hallelujahs and rejoicing.
0	Everything is so stupid!
3	Then he got up and clambered out of the cave, went into the forest, and thought, "Here I am quite alone and deserted, how shall I obtain a horse now?"
3	At length in her grief she went out, and the youngest kid ran with her.
4	"But dost thou know what thou must promise?" said the King.
3	Then she took it, and went to her mother"s grave and planted it there; and cried so much that it was watered with her tears; and there it grew and became a fine tree.
0	"That was ill done, Hans, you should have carried the bacon on your head."
2	"With all my heart," said Partlet, "let us go and make a holiday of it together."
0	Away with him out of the hall!"
4	"Ah, heavens," she said, "is it possible that my poor children whom he has swallowed down for his supper, can be still alive?"
2	His conscience was clear and his heart light amidst all his troubles; so he went peaceably to bed, left all his cares to Heaven, and soon fell asleep.
3	"Alack," said the tailor, "I have my twist; but no more strength--nor time--than will serve to make me one single buttonhole; for this is Christmas Day in the Morning!
2	Then she ran to her little cabin, washed herself quickly, and took her dress out which was silvery as the moon, and put it on; and when she went in, looking like a king"s daughter, the king went up to her, and rejoiced at seeing her again, and when the dance began he danced with her.
0	And the blood rose to the head of the excited criminal; he threw himself upon his comrade, and beat him with his clenced fist in the face.
0	Then at last he was angry, and cried quite impatiently, "I wish your neck was broken!"
0	But her mother said, "It is all of no use, you cannot go; you have no clothes, and cannot dance, and you would only put us to shame": and off she went with her two daughters to the ball.
3	"Dear God, do help us," she cried.
2	Then he dismounted and took her in his arms; and she kissed him, and said, "Now you have indeed set me free, and tomorrow we will celebrate our marriage."
0	He did not like the student, and would grumble when he saw him cutting out droll or amusing pictures.
2	Give me a fine fat goose."
2	Yes, I shall get to Egypt, for I feel so happy!
1	So they went on, but the road led them out of the way; no house could be seen, it grew dark, and the children were afraid.
2	About midnight in they came, dancing and skipping, hopped round the room, and then went to sit down to their work as usual; but when they saw the clothes lying for them, they laughed and chuckled, and seemed mightily delighted.
2	When the Queen rejoiced thereat, the Virgin Mary said, "Is thy heart not yet softened?
2	"Now I am in the house of God," she said, "and in that house we are happy."
3	The little sister wept and said, "Can you not be set free?"
3	Peter began to cry.
4	When Jemima alighted he quite jumped.
0	Hereupon the King was angry, and ordered him to be put in prison at once, because he thought he must have done some injury to the children.
4	"Good gracious!" he sighed, "I must have a tendency to softening of the brain, and here it is so exceedingly hot that the blood is rushing to my head."
4	The good man knew not what to say or think at such an odd thing happening.
2	We loved each other so tenderly, and were so alike in our way of thinking and our inclinations, that we both embraced the resolution never to marry, but to stay together to the end of our lives.
3	In an instant they stood before him; but the queen wept, and said he had broken his word, and bad luck would follow.
1	Pig-wig looked anxious.
2	It trembled so with joy in all its branches, that one of the candles fell among the green leaves and burnt some of them.
0	Then the first looked round and said, "Who has been lying on my bed?"
1	Immediately a great fear fell on her.
2	So Master Thumb stayed at home with his father and mother, in peace; for though he had been so great a traveller, and had done and seen so many fine things, and was fond enough of telling the whole story, he always agreed that, after all, there"s no place like HOME!
3	She was sadder than ever as she drove along, and said mournfully, "I know he has fallen asleep, and will not be able to set me free."
0	"No," said he; "there is only a little dirty Ashputtel here, the child of my first wife; I am sure she cannot be the bride."
4	"Ho! ho!" said the old goblin, "is that what she means?
3	"She is sitting in her room, Moaning in her gloom, Weeping her little eyes quite red, Because old Mr Fox is dead."
2	When the twelve princesses heard this they laughed heartily; and the eldest said, "This fellow too might have done a wiser thing than lose his life in this way!"
0	Then there was no end to the rage and disappointment of Tom Thumb and Hunca Munca.
3	There she stood and cried, the swineherd scolded her, and the rain came down in torrents.
2	How sweetly they sing there; it is quite a pleasure to listen to them!
3	She had also to experience another grief in seeing Alfred marry again, marry Sophy, who was nothing at all to look at.
1	Driven by fear and horror, she flew homeward; she was almost sinking fainting to the earth, while the flock of pursuing birds increased, some even attempting to peck at her.
2	As the clerk thought of all these things, and became conscious of the great change in his own feelings, he smiled, and said to himself, "I must be asleep and dreaming; and yet, if so, how wonderful for a dream to be so natural and real, and to know at the same time too that it is but a dream.
0	"Trap, trap, trap! cackle, cackle, cackle!" scolded the disturbed cockerel.
3	Then said the maid: "What a clever Elsie we have!" and sat down beside her and began loudly to weep over the misfortune.
2	"I like that!" said the Princess.
3	Cold and pale lay the emperor in his royal bed; the whole court thought he was dead, and every one ran away to pay homage to his successor.
3	She felt dreadfully cold, for her clothes were torn, and she was herself so frail and delicate, that poor little Tiny was nearly frozen to death.
3	"Alas, thou canst not help me."
2	The young man felt the truth of the proverb, "Still waters run deep:" and his heart had sunk into their depths.
2	When the princess with her ladies passed by and heard the tune, she stopped and looked quite pleased, for she also could play it- in fact, it was the only tune she could play, and she played it with one finger.
0	"Ah! unlucky wretch that I am!" said she; "would that I had married King Grisly-beard!"
0	"Feet off the table-cloth!" said the old goblin.
0	"Thou child of perdition, I will yet carry out my purpose!" cried the Bishop of Borglum.
2	But presently they made it up again, and trotted away together, singing--
4	The duckling had never seen any like them before.
3	When a stone saw that, it took pity on the little cock, wished to help him, and laid itself over the water.
3	And the beautiful young lady fell upon her knees before him, and said, "O dearest huntsman! forgive me all the ill I have done you; my mother forced me to it, it was against my will, for I always loved you very much.
1	Tiny trembled very much; she was quite frightened, for the bird was large, a great deal larger than herself,- she was only an inch high.
3	"I know very well where she is," sighed the top; "she is in the swallow's nest, and has married the swallow."
1	The fisherman was half asleep, but the thought frightened him so much that he started and fell out of bed.
0	At last he went to the judge, and complained that a rascal had robbed him of his money, and beaten him into the bargain; and that the fellow who did it carried a bow at his back and a fiddle hung round his neck.
2	Can such happiness be imagined?"
3	"Sorry!" he exclaimed, and his voice was troubled with a grief as deep as my own.
3	It made little Tiny very sad to see it, she did so love the little birds; all the summer they had sung and twittered for her so beautifully.
2	The betrothed pair were very happy, and the mother was happy too.
4	Then the fox came, and said, "Pray kill me, and cut off my head and my feet."
